Epoch,Loss_Total,CEE
0,0.06227702274918556,0.06085164099931717
100,0.00504892785102129,0.00403622118756175
200,0.0032318290323019028,0.0025316360406577587
300,0.0019750965293496847,0.0014010956510901451
400,0.0012342651607468724,0.0008985743043012917
500,0.0008406832348555326,0.0006700518424622715
600,0.0006729583255946636,0.0005704771028831601
700,0.0005748209077864885,0.0005070375045761466
800,0.0004578077350743115,0.00042990947258658707
900,0.00042084878077730536,0.0003903261385858059
1000,0.00038720827433280647,0.00036891084164381027
1100,0.0003413153172004968,0.00034903385676443577
1200,0.00033396121580153704,0.00031899387249723077
1300,0.0002988856576848775,0.0003013924288097769
1400,0.0002817875938490033,0.0002972281363327056
1499,0.0002701807243283838,0.0002753014850895852
