Epoch,Loss_Total,CEE
0,0.07226430624723434,0.06264808773994446
100,0.03401997312903404,0.0367729477584362
200,0.033455539494752884,0.036359094083309174
300,0.03177556395530701,0.03462323173880577
400,0.026875793933868408,0.02899327129125595
500,0.021596161648631096,0.023402178660035133
600,0.019282042980194092,0.020974669605493546
700,0.015312444418668747,0.016373105347156525
800,0.0104005616158247,0.011145790107548237
900,0.009017192758619785,0.00999738834798336
1000,0.00839980598539114,0.009643564000725746
1100,0.00788478646427393,0.009224921464920044
1200,0.007816629484295845,0.009162154980003834
1300,0.0074470918625593185,0.008978214114904404
1400,0.007396582514047623,0.008856101892888546
1499,0.007164455950260162,0.008871608413755894
