Epoch,Loss_Total,CEE
0,0.07750915735960007,0.07713275402784348
100,0.052092019468545914,0.04605178162455559
200,0.01643381267786026,0.01161310076713562
300,0.014491498470306396,0.009985927492380142
400,0.013951876200735569,0.009684114716947079
500,0.013544896617531776,0.009153968654572964
600,0.012857135385274887,0.009410092607140541
700,0.01217828132212162,0.008193065412342548
800,0.011598316952586174,0.008068254217505455
900,0.011071493849158287,0.007685649674385786
1000,0.011309085413813591,0.007697750348597765
1100,0.010999777354300022,0.007846704684197903
1200,0.0106985904276371,0.007412855513393879
1300,0.010445183143019676,0.0072416807524859905
1400,0.010568149387836456,0.006978556048125029
1499,0.010119699873030186,0.006935126148164272
